Año,Clave del incendio,latitud_grados,latitud_minutos,latitud_segundos,Latitud,longitud_grados,longitud_minutos,longitud_segundos,Longitud,Clave Municipio,Estado,Municipio,CVE_ENT,CVE_MUN,CVEGEO,Región,Predio,Causa,Causa especifica,Fecha Inicio,Fecha Termino,Duración días,Tipo de incendio,Tipo Vegetación,Régimen de fuego,Tipo impacto,Arbolado Adulto,Renuevo,Arbustivo,Herbáceo,Hojarasca,Total hectáreas,Tamaño,Detección,Llegada,Duración
2021,21-01-0032,22,1,24.87,22.023575,102,14,31.71,-102.2421417,11,Aguascalientes,San Francisco de los Romo,1,11,1011,Occidente,Ejido de Uso Común Chicalote,Desconocidas,Ninguna / No aplica,44319,44319,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,2.66,23.92,0,26.58,21 a 50 Hectáreas,0.003472222,0.009027778,0.270833333
2021,21-01-0033,21,42,46.12,21.712811,102,27,1.98,-102.45055,1,Aguascalientes,Aguascalientes,1,1,1001,Occidente,Cieneguilla,Desconocidas,Ninguna / No aplica,44318,44318,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,0,0,0.23,4.37,0,4.6,0 a 5 Hectáreas,0.004166667,0.010416667,0.309722222
2021,21-01-0034,21,50,54.35,21.848431,102,50,50.46,-102.84735,3,Aguascalientes,Calvillo,1,3,1003,Occidente,Terrero del Refugio ,Desconocidas,Ninguna / No aplica,44356,44357,2 a 3 Días,Superficial,Bosque de Encino,Adaptado,Impacto Mínimo,0,0,2.23,20.05,0,22.28,21 a 50 Hectáreas,0.006944444,0.076388889,0.708333333
2021,21-01-0035,22,12,39.35,22.210931,102,20,32.72,-102.3424222,7,Aguascalientes,Rincón de Romos,1,7,1007,Occidente,Cerro el Novillo,Actividades ilícitas,Vandalismo,44554,44555,2 a 3 Días,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,1.4883,28.2764,0,29.7647,21 a 50 Hectáreas,0.0625,0.0625,1.0625
2021,21-01-0036,21,59,27.16,21.990878,102,22,18.86,-102.3719056,5,Aguascalientes,Jesús María,1,5,1005,Occidente,Cerro de las Viejitas,Quema de basureros,Quema en traspatio,44554,44554,1 Día,Superficial,Selva Baja Caducifolia,Sensible,Impacto Mínimo,0,0,0.1839,3.4938,0,3.6777,0 a 5 Hectáreas,0.010416667,0.010416667,0.177083333
2021,21-01-0037,22,6,59.22,22.11645,102,20,32.56,-102.3423778,6,Aguascalientes,Pabellón de Arteaga,1,6,1006,Occidente,Hacienda de Santiago,Actividades ilícitas,Vandalismo,44555,44555,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,4.6896,32.206,0,36.8956,21 a 50 Hectáreas,0.024305556,0.017361111,0.375
2021,21-02-0001,31,53,54.32,31.898422,116,25,35.61,-116.4265583,1,Baja California,Ensenada,2,1,2001,Noroeste,Agua Viva / Cañon de las Cruces,Fumadores,Ninguna / No aplica,44207,44207,1 Día,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,3.3,2,0,5.3,6 a 10 Hectáreas,0.006944444,0.013888889,0.291666667
2021,21-02-0002,32,22,47.34,32.379817,116,57,3.51,-116.950975,4,Baja California,Tijuana,2,4,2004,Noroeste, Rancho Mauro Guzman / Rancho Mauro Guzman,Actividades ilícitas,Vandalismo,44211,44212,2 a 3 Días,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,69.43,277.71,0,347.14,Mayor a 100 Hectáreas,0.013888889,0.027777778,1.125
2021,21-02-0003,31,11,33.24,31.192567,115,53,2.72,-115.8840889,1,Baja California,Ensenada,2,1,2001,Noroeste,Ejido San Isidoro / Picacho - Cañada Honda,Desconocidas,Ninguna / No aplica,44211,44213,2 a 3 Días,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,2600.38,1114.45,0,3714.83,Mayor a 100 Hectáreas,0.041666667,0.0625,1.958333333
2021,21-02-0004,31,44,20.8,31.739111,116,31,59.86,-116.5332944,1,Baja California,Ensenada,2,1,2001,Noroeste,Ejido López Portillo / Maneadero,Actividades ilícitas,Vandalismo,44213,44213,1 Día,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,8.14,20,0,28.14,21 a 50 Hectáreas,0.013888889,0.076388889,0.416666667
2021,21-02-0005,31,32,10.38,31.536217,116,1,47.73,-116.029925,1,Baja California,Ensenada,2,1,2001,Noroeste,El Alamo / El Alamo,Desconocidas,Ninguna / No aplica,44214,44215,2 a 3 Días,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,7.1,10.65,0,17.75,11 a 20 Hectáreas,0.020833333,0.072916667,1.1875
2021,21-02-0006,29,10,19.2,29.172,118,17,12.11,-118.2866972,6,Baja California,San Quintín,2,6,2006,Noroeste,Reserva de la Biosfera Isla Guadalupe / Punta Norte,Naturales,Rayos,44216,44220,4 a 7 Días,Superficial,Bosque de Encino-Pino,Adaptado,Impacto Mínimo,0.07,0,0,0,0,0.07,0 a 5 Hectáreas,0.041666667,0.145833333,4.541666667
2021,21-02-0007,29,10,22.28,29.172856,118,17,7.48,-118.2854111,6,Baja California,San Quintín,2,6,2006,Noroeste,Reserva de la Biosfera Isla Guadalupe / Punta Norte II,Desconocidas,Ninguna / No aplica,44286,44312,Mayor de 7 Días,Mixto,Bosque de Pino,Adaptado,Impacto Moderado,5.001,0,0,0,0,5.001,6 a 10 Hectáreas,0.041666667,1.145833333,26.375
2021,21-02-0008,32,21,29.02,32.358061,116,32,30.52,-116.5418111,3,Baja California,Tecate,2,3,2003,Noroeste, Comunidad Indigena Juntas de Neji y Anexas / El Chamizal ,Desconocidas,Ninguna / No aplica,44305,44305,1 Día,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,25.9,0,0,25.9,21 a 50 Hectáreas,0.006944444,0.041666667,0.159722222
2021,21-02-0009,32,32,52.68,32.547967,116,30,34.83,-116.509675,3,Baja California,Tecate,2,3,2003,Noroeste,Rancho Villareal / Las Auras ,Desconocidas,Ninguna / No aplica,44320,44321,2 a 3 Días,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,56.06,0,0,56.06,51 a 100 Hectáreas,0.013888889,0.027777778,1.104166667
2021,21-02-0010,32,29,22.03,32.489453,116,21,20.4,-116.3556667,3,Baja California,Tecate,2,3,2003,Noroeste,Cine Pueblo/ Rancho Las Juntas,Fogatas,Fogatas de paseantes,44323,44323,1 Día,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,6.549,0,0,6.549,6 a 10 Hectáreas,0.013888889,0.020833333,0.097222222
2021,21-02-0011,32,5,14.46,32.08735,116,33,46.64,-116.5629556,1,Baja California,Ensenada,2,1,2001,Noroeste,Francisco Zarco/ San Judas Tadeo,Desconocidas,Ninguna / No aplica,44325,44325,1 Día,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,27.372,0,0,27.372,21 a 50 Hectáreas,0.020833333,0.016666667,0.120833333
2021,21-02-0012,31,50,7.76,31.835489,116,35,32.33,-116.5923139,1,Baja California,Ensenada,2,1,2001,Noroeste,Valle Dorado/ Valle Dorado,Desconocidas,Ninguna / No aplica,44329,44329,1 Día,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,3.057,0,0,3.057,0 a 5 Hectáreas,0.006944444,0.006944444,0.128472222
2021,21-02-0013,32,31,46.09,32.529469,116,37,59.56,-116.6332111,3,Baja California,Tecate,2,3,2003,Noroeste,Rancho El Chale/ Rancho El Chale ,Fumadores,Ninguna / No aplica,44329,44329,1 Día,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,10.815,0,0,10.815,11 a 20 Hectáreas,0.006944444,0.006944444,0.131944444
2021,21-02-0014,31,59,20.4,31.989,116,48,0.69,-116.8001917,1,Baja California,Ensenada,2,1,2001,Noroeste,Carretera Tijuana Ensenada/ Km 85,Desconocidas,Ninguna / No aplica,44330,44330,1 Día,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,2.48,0,0,2.48,0 a 5 Hectáreas,0.011805556,0.022916667,0.0625
2021,21-02-0015,32,31,15.27,32.520908,116,18,9.29,-116.3025806,3,Baja California,Tecate,2,3,2003,Noroeste,Los Manantiales/ Los Manantiales,Desconocidas,Ninguna / No aplica,44330,44330,1 Día,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,1.352,0,0,1.352,0 a 5 Hectáreas,0.09375,0.041666667,0.185416667
2021,21-02-0016,32,1,40.62,32.02795,116,29,50.09,-116.4972472,1,Baja California,Ensenada,2,1,2001,Noroeste,San Antonio Necua/ El Borreguero,Fogatas,Fogatas de paseantes,44339,44343,4 a 7 Días,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,370.052,0,0,370.052,Mayor a 100 Hectáreas,0.083333333,0.041666667,4.291666667
2021,21-02-0017,32,34,12.29,32.570081,116,34,1.59,-116.5671083,3,Baja California,Tecate,2,3,2003,Noroeste,Cañada Joe Bill/ Cañada Joe Bill,Quema de basureros,Basurero irregular,44340,44340,1 Día,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,12.644,0,0,12.644,11 a 20 Hectáreas,0.038194444,0.003472222,0.173611111
2021,21-02-0018,32,33,43.89,32.562192,116,25,35,-116.4263889,3,Baja California,Tecate,2,3,2003,Noroeste,Ojay Park/ Ojay Park,Quema de basureros,Basurero irregular,44341,44341,1 Día,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,2.531,0,0,2.531,0 a 5 Hectáreas,0.003472222,0.002083333,0.125
2021,21-02-0019,32,26,59.44,32.449844,116,24,43.09,-116.4119694,3,Baja California,Tecate,2,3,2003,Noroeste,Santa Verónica/Santa Verónica,Desconocidas,Ninguna / No aplica,44341,44343,2 a 3 Días,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,74.008,0,0,74.008,51 a 100 Hectáreas,0.010416667,0.045138889,2.104166667
2021,21-02-0020,31,58,40.41,31.977892,116,40,16.89,-116.6713583,1,Baja California,Ensenada,2,1,2001,Noroeste,Rancho Los Alisos/ Rancho Rusos,Actividades Agrícolas,Quema para desmontar,44346,44346,1 Día,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,1.601,0,0,1.601,0 a 5 Hectáreas,0.010416667,0.010416667,0.083333333
2021,21-02-0021,32,5,14.45,32.087347,116,49,54.65,-116.8318472,1,Baja California,Ensenada,2,1,2001,Noroeste,Carretera Tijuana Ensenada Km 70/ La  Misión,Fumadores,Ninguna / No aplica,44348,44348,1 Día,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,4.579,0,0,4.579,0 a 5 Hectáreas,0.006944444,0.041666667,0.243055556
2021,21-02-0022,32,32,44.66,32.545739,116,39,35,-116.6597222,3,Baja California,Tecate,2,3,2003,Noroeste,Cerro Las Torres/ Cerro Las Torres,Desconocidas,Ninguna / No aplica,44349,44349,1 Día,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,4.509,0,0,4.509,0 a 5 Hectáreas,0.079166667,0.013888889,0.190277778
2021,21-02-0023,32,8,40.19,32.144497,116,0,18.43,-116.0051194,1,Baja California,Ensenada,2,1,2001,Noroeste,La Angostura/ La Angostura,Desconocidas,Ninguna / No aplica,44350,44353,4 a 7 Días,Superficial,Chaparral,Adaptado,Impacto Moderado,5,0,107.031,0,0,112.031,Mayor a 100 Hectáreas,0.020833333,0.09375,3.041666667
2021,21-02-0024,31,45,35,31.759722,115,43,10.02,-115.71945,1,Baja California,Ensenada,2,1,2001,Noroeste,Santa Catarina/Valle Seco,Desconocidas,Ninguna / No aplica,44353,44359,4 a 7 Días,Superficial,Chaparral,Adaptado,Impacto Mínimo,4,0,1357.584,0,0,1361.584,Mayor a 100 Hectáreas,2.349305556,0.083333333,6.443055556
2021,21-02-0025,31,47,57.52,31.799311,115,52,18.22,-115.8717278,1,Baja California,Ensenada,2,1,2001,Noroeste,Ejido Sierra Juárez/El Bajío de la Muñeca,Desconocidas,Ninguna / No aplica,44357,44358,2 a 3 Días,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,54.663,0,0,54.663,51 a 100 Hectáreas,0.020833333,0.104166667,0.958333333
2021,21-02-0026,31,21,2.77,31.350769,115,28,21.62,-115.4726722,1,Baja California,Ensenada,2,1,2001,Noroeste,Ejido Tribu Kiliwuas/La Morita,Desconocidas,Ninguna / No aplica,44359,44361,2 a 3 Días,Superficial,Matorral Desertico Micrófilo,Otros,Impacto Mínimo,0,0,254.982,0,0,254.982,Mayor a 100 Hectáreas,0.006944444,0.013888889,1.770833333
2021,21-02-0027,31,37,41.78,31.628272,115,42,21.66,-115.7060167,1,Baja California,Ensenada,2,1,2001,Noroeste,Misión de Santa Catarina/Ejido Sonora Baja California,Desconocidas,Ninguna / No aplica,44360,44363,4 a 7 Días,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,629.124,0,0,629.124,Mayor a 100 Hectáreas,0.006944444,0.083333333,3.041666667
2021,21-02-0028,31,58,46.39,31.979553,116,35,58.48,-116.5995778,1,Baja California,Ensenada,2,1,2001,Noroeste,San Antonio de las Minas/ Rancho las Cruces,Desconocidas,Ninguna / No aplica,44360,44360,1 Día,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,5.056,0,0,5.056,6 a 10 Hectáreas,0.020833333,0.020833333,0.270833333
2021,21-02-0029,31,55,44.25,31.928958,115,55,22.95,-115.9230417,1,Baja California,Ensenada,2,1,2001,Noroeste,La Botella/Laguna Seca ,Quema de basureros,Quema de residuos de jardinería,44361,44362,2 a 3 Días,Superficial,Bosque de Pino,Adaptado,Impacto Mínimo,7.402,0,1.711,0,0,9.113,6 a 10 Hectáreas,0.020833333,0.0625,1.208333333
2021,21-02-0030,31,43,22.1,31.722806,115,45,23.97,-115.7566583,1,Baja California,Ensenada,2,1,2001,Noroeste,Misión de Santa Catarina/ Santa Catarina,Desconocidas,Ninguna / No aplica,44363,44369,4 a 7 Días,Superficial,Chaparral,Adaptado,Impacto Moderado,129.108,0,1801.506,0,0,1930.614,Mayor a 100 Hectáreas,0.020833333,0.6875,6.291666667
2021,21-02-0031,31,44,47.92,31.746644,115,47,34.11,-115.7928083,1,Baja California,Ensenada,2,1,2001,Noroeste,Cañon de la Parra/Cañon de la Parra,Desconocidas,Ninguna / No aplica,44372,44376,4 a 7 Días,Superficial,Chaparral,Adaptado,Impacto Moderado,130.275,0,1268.914,16.85,0,1416.039,Mayor a 100 Hectáreas,0.0125,1.052083333,3.897916667
2021,21-02-0032,32,33,14.51,32.554031,116,33,3.03,-116.5508417,3,Baja California,Tecate,2,3,2003,Noroeste,San Pablo 2da Sección/San Pablo 2da Sección,Desconocidas,Ninguna / No aplica,44375,44376,2 a 3 Días,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,32.60875,19.56525,0,52.174,51 a 100 Hectáreas,0.006944444,0.027777778,1.013888889
2021,21-02-0033,31,13,3.53,31.217647,115,43,9.51,-115.7193083,1,Baja California,Ensenada,2,1,2001,Noroeste,Ej. Leandro Valle/Ej. Leandro Valle,Desconocidas,Ninguna / No aplica,44378,44379,2 a 3 Días,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,69.771592,6.348408,0,76.12,51 a 100 Hectáreas,0.03125,0.083333333,1.208333333
2021,21-02-0034,32,32,46.5,32.54625,116,31,24.3,-116.5234167,3,Baja California,Tecate,2,3,2003,Noroeste,Las Auras/ Carretera de cuota,Desconocidas,Ninguna / No aplica,44382,44383,2 a 3 Días,Superficial,Chaparral,Adaptado,Impacto Mínimo,0,0,114.4995,28.6245,0,143.124,Mayor a 100 Hectáreas,0.018055556,0.016666667,1.083333333
