FechaLocal,TemperaturaAire(C),Precipitacion(mm),HumedadRelativa(Porcentaje),PresionAtmosferica(hpa),RadiacionSolar(W/m2),DireccionViento(grados),RapidezViento(km/h),DireccionRafaga(grados),RapidezRafaga(km/h)
14/10/2020 14:50,30.8,0,63,1012.4,753,36,16.2,70,24.84
14/10/2020 14:40,31,0,63,1012.5,771,46,16.2,91,28.8
14/10/2020 14:30,30.7,0,65,1012.7,788,34,15.84,68,24.12
14/10/2020 14:20,31,0,63,1012.8,807,31,16.92,91,28.44
14/10/2020 14:10,31.3,0,63,1013,823,20,15.84,60,24.48
14/10/2020 14:00,31,0,63,1013.1,850,25,16.92,64,25.2
14/10/2020 13:50,31.1,0,63,1013.2,868,28,14.76,70,23.76
14/10/2020 13:40,31,0,63,1013.4,883,28,16.56,83,23.4
14/10/2020 13:30,30.8,0,61,1013.5,903,24,15.12,66,24.12
14/10/2020 13:20,31,0,61,1013.8,913,26,15.48,61,22.32
14/10/2020 13:10,31.1,0,62,1013.9,914,33,13.32,102,19.08
14/10/2020 13:00,31.1,0,60,1014.1,918,24,12.6,98,18.36
14/10/2020 12:50,31.5,0,61,1014.2,909,12,11.52,51,17.64
14/10/2020 12:40,31.1,0,60,1014.4,909,18,12.96,60,16.92
14/10/2020 12:30,31.1,0,60,1014.6,894,32,13.68,104,20.52
14/10/2020 12:20,31.6,0,61,1014.8,857,54,11.52,107,21.6
14/10/2020 12:10,31.4,0,60,1015,855,48,12.6,100,21.24
14/10/2020 12:00,31.5,0,60,1015.2,851,44,11.88,97,20.88
14/10/2020 11:50,31.1,0,60,1015.3,852,35,11.88,89,21.96
14/10/2020 11:40,31.5,0,59,1015.3,831,40,11.16,121,23.4
14/10/2020 11:30,31.2,0,57,1015.5,818,35,11.52,94,19.44
14/10/2020 11:20,31.2,0,59,1015.7,807,34,11.52,126,18.36
14/10/2020 11:10,30.9,0,60,1015.7,781,49,12.96,105,22.68
14/10/2020 11:00,30.8,0,61,1015.6,785,58,12.6,123,20.52
14/10/2020 10:50,31.2,0,59,1015.6,149,58,10.8,181,19.8
14/10/2020 10:40,31.4,0,61,1015.7,755,60,9.36,131,23.04
14/10/2020 10:30,30.7,0,64,1015.6,725,70,11.88,136,19.44
14/10/2020 10:20,30.5,0,65,1015.5,495,76,11.88,114,21.96
14/10/2020 10:10,30.1,0,68,1015.5,643,62,11.16,105,18
14/10/2020 10:00,29.9,0,66,1015.5,234,65,10.8,101,18.72
14/10/2020 09:50,30.6,0,66,1015.5,676,76,12.24,147,21.24
14/10/2020 09:40,30.4,0,66,1015.4,433,77,10.44,101,16.92
14/10/2020 09:30,30.1,0,68,1015.3,550,76,11.16,111,18
14/10/2020 09:20,30.1,0,69,1015.3,512,83,8.64,123,14.04
14/10/2020 09:10,30,0,68,1015.3,467,79,9.36,125,16.92
14/10/2020 09:00,29.6,0,68,1015.3,429,81,10.08,126,17.28
14/10/2020 08:50,29.8,0,69,1015.2,392,88,7.92,163,15.48
14/10/2020 08:40,29.1,0,71,1015.1,364,108,8.64,167,14.04
14/10/2020 08:30,28.8,0,73,1015,339,91,9,131,14.04
14/10/2020 08:20,28.1,0,78,1014.8,331,90,9.72,130,16.92
14/10/2020 08:10,27.6,0,78,1014.8,76,80,9,103,14.04
14/10/2020 08:00,28.1,0,78,1014.7,206,79,6.12,119,10.44
14/10/2020 07:50,27.6,0,79,1014.6,93,94,6.48,134,9.72
14/10/2020 07:40,27.4,0,80,1014.5,124,84,7.2,157,14.04
14/10/2020 07:30,26.9,0,81,1014.5,87,70,8.28,116,13.68
14/10/2020 07:20,26.7,0,78,1014.4,61,64,10.08,147,16.2
14/10/2020 07:10,26.7,0,78,1014.3,22,61,11.52,109,18.72
14/10/2020 07:00,26.6,0,79,1014.1,11,65,12.24,104,19.44
14/10/2020 06:50,26.7,0,79,1014,3,66,11.88,114,18.36
14/10/2020 06:40,26.9,0,79,1014,0,59,12.6,95,20.88
14/10/2020 06:30,27,0,79,1014,0,56,11.16,103,19.44
14/10/2020 06:20,26.9,0,78,1013.9,0,52,12.6,82,19.8
14/10/2020 06:10,26.9,0,79,1013.8,0,59,11.52,100,20.16
14/10/2020 06:00,27,2,80,1013.8,0,59,11.16,107,20.16
14/10/2020 05:50,26.8,8,81,1013.7,0,59,10.08,92,19.8
14/10/2020 05:40,26.9,10,81,1013.6,0,53,12.24,81,20.88
14/10/2020 05:30,26.9,7,81,1013.5,0,52,10.8,94,15.84
14/10/2020 05:20,27,5,80,1013.4,0,49,11.88,99,20.88
14/10/2020 05:10,27,2,78,1013.4,0,49,12.6,82,21.96
14/10/2020 05:00,27,0,78,1013.4,0,48,13.68,85,20.16
14/10/2020 04:50,27.1,0,79,1013.5,0,48,14.04,74,21.96
14/10/2020 04:40,27.1,0,80,1013.4,0,50,14.4,91,23.4
14/10/2020 04:30,27.2,0,81,1013.4,0,45,12.96,84,24.12
14/10/2020 04:20,27.2,0,82,,0,50,12.96,104,22.68
14/10/2020 04:10,27.2,0,82,1013.2,0,52,14.04,92,22.68
14/10/2020 04:00,27.1,0,83,1013.1,0,56,12.96,112,23.04
14/10/2020 03:50,27.2,0,84,1013,0,50,12.6,95,19.44
14/10/2020 03:40,27.2,0,84,1013,0,56,14.4,86,23.4
14/10/2020 03:30,27.2,0,84,1013,0,55,14.76,91,23.04
14/10/2020 03:20,27.3,0,84,1013.1,0,52,15.12,84,24.12
14/10/2020 03:10,27.3,0,85,1013.2,0,50,14.76,84,21.6
14/10/2020 03:00,27.4,0,84,1013.3,0,46,14.04,82,24.12
14/10/2020 02:50,27.6,0,85,1013.3,0,48,14.4,78,24.12
14/10/2020 02:40,27.7,0,85,1013.4,0,47,12.24,92,19.8
14/10/2020 02:30,27.7,0,85,1013.6,0,59,13.32,93,24.12
14/10/2020 02:20,27.5,0,85,1013.6,0,63,12.24,115,21.24
14/10/2020 02:10,27.6,0,85,1013.6,0,65,14.76,120,25.2
14/10/2020 02:00,27.5,0,86,1013.8,0,63,12.96,105,19.8
14/10/2020 01:50,27.4,0,86,1013.9,0,63,11.52,100,18.36
14/10/2020 01:40,27.5,0,87,1014,0,63,12.6,103,23.04
14/10/2020 01:30,27.6,0,86,1014.1,0,61,13.68,99,22.68
14/10/2020 01:20,27.6,0,87,1014.1,0,66,14.4,95,23.04
14/10/2020 01:10,27.6,0,87,1014.2,0,68,12.6,167,22.32
14/10/2020 01:00,27.6,0,87,1014.4,0,65,11.88,125,19.8
14/10/2020 00:50,27.6,0,87,1014.5,0,66,12.6,111,19.8
14/10/2020 00:40,27.7,0,86,1014.7,0,56,14.04,105,21.6
14/10/2020 00:30,27.8,0,87,1014.7,0,60,13.68,103,21.24
14/10/2020 00:20,27.8,0,86,1014.7,0,59,12.6,94,22.32
14/10/2020 00:10,27.8,0,85,1014.7,0,57,12.6,108,22.68
14/10/2020 00:00,27.8,0,86,1014.8,0,57,12.6,226,24.84
